Series ID,Year,Period,Label,Value
CUUR0000SA0,1995,M01,1995 Jan,150.3
CUUR0000SA0,1995,M02,1995 Feb,150.9
CUUR0000SA0,1995,M03,1995 Mar,151.4
CUUR0000SA0,1995,M04,1995 Apr,151.9
CUUR0000SA0,1995,M05,1995 May,152.2
CUUR0000SA0,1995,M06,1995 Jun,152.5
CUUR0000SA0,1995,M07,1995 Jul,152.5
CUUR0000SA0,1995,M08,1995 Aug,152.9
CUUR0000SA0,1995,M09,1995 Sep,153.2
CUUR0000SA0,1995,M10,1995 Oct,153.7
CUUR0000SA0,1995,M11,1995 Nov,153.6
CUUR0000SA0,1995,M12,1995 Dec,153.5
CUUR0000SA0,1996,M01,1996 Jan,154.4
CUUR0000SA0,1996,M02,1996 Feb,154.9
CUUR0000SA0,1996,M03,1996 Mar,155.7
CUUR0000SA0,1996,M04,1996 Apr,156.3
CUUR0000SA0,1996,M05,1996 May,156.6
CUUR0000SA0,1996,M06,1996 Jun,156.7
CUUR0000SA0,1996,M07,1996 Jul,157
CUUR0000SA0,1996,M08,1996 Aug,157.3
CUUR0000SA0,1996,M09,1996 Sep,157.8
CUUR0000SA0,1996,M10,1996 Oct,158.3
CUUR0000SA0,1996,M11,1996 Nov,158.6
CUUR0000SA0,1996,M12,1996 Dec,158.6
CUUR0000SA0,1997,M01,1997 Jan,159.1
CUUR0000SA0,1997,M02,1997 Feb,159.6
CUUR0000SA0,1997,M03,1997 Mar,160
CUUR0000SA0,1997,M04,1997 Apr,160.2
CUUR0000SA0,1997,M05,1997 May,160.1
CUUR0000SA0,1997,M06,1997 Jun,160.3
CUUR0000SA0,1997,M07,1997 Jul,160.5
CUUR0000SA0,1997,M08,1997 Aug,160.8
CUUR0000SA0,1997,M09,1997 Sep,161.2
CUUR0000SA0,1997,M10,1997 Oct,161.6
CUUR0000SA0,1997,M11,1997 Nov,161.5
CUUR0000SA0,1997,M12,1997 Dec,161.3
CUUR0000SA0,1998,M01,1998 Jan,161.6
CUUR0000SA0,1998,M02,1998 Feb,161.9
CUUR0000SA0,1998,M03,1998 Mar,162.2
CUUR0000SA0,1998,M04,1998 Apr,162.5
CUUR0000SA0,1998,M05,1998 May,162.8
CUUR0000SA0,1998,M06,1998 Jun,163
CUUR0000SA0,1998,M07,1998 Jul,163.2
CUUR0000SA0,1998,M08,1998 Aug,163.4
CUUR0000SA0,1998,M09,1998 Sep,163.6
CUUR0000SA0,1998,M10,1998 Oct,164
CUUR0000SA0,1998,M11,1998 Nov,164
CUUR0000SA0,1998,M12,1998 Dec,163.9
CUUR0000SA0,1999,M01,1999 Jan,164.3
CUUR0000SA0,1999,M02,1999 Feb,164.5
CUUR0000SA0,1999,M03,1999 Mar,165
CUUR0000SA0,1999,M04,1999 Apr,166.2
CUUR0000SA0,1999,M05,1999 May,166.2
CUUR0000SA0,1999,M06,1999 Jun,166.2
CUUR0000SA0,1999,M07,1999 Jul,166.7
CUUR0000SA0,1999,M08,1999 Aug,167.1
CUUR0000SA0,1999,M09,1999 Sep,167.9
CUUR0000SA0,1999,M10,1999 Oct,168.2
CUUR0000SA0,1999,M11,1999 Nov,168.3
CUUR0000SA0,1999,M12,1999 Dec,168.3
CUUR0000SA0,2000,M01,2000 Jan,168.8
CUUR0000SA0,2000,M02,2000 Feb,169.8
CUUR0000SA0,2000,M03,2000 Mar,171.2
CUUR0000SA0,2000,M04,2000 Apr,171.3
CUUR0000SA0,2000,M05,2000 May,171.5
CUUR0000SA0,2000,M06,2000 Jun,172.4
CUUR0000SA0,2000,M07,2000 Jul,172.8
CUUR0000SA0,2000,M08,2000 Aug,172.8
CUUR0000SA0,2000,M09,2000 Sep,173.7
CUUR0000SA0,2000,M10,2000 Oct,174
CUUR0000SA0,2000,M11,2000 Nov,174.1
CUUR0000SA0,2000,M12,2000 Dec,174
CUUR0000SA0,2001,M01,2001 Jan,175.1
CUUR0000SA0,2001,M02,2001 Feb,175.8
CUUR0000SA0,2001,M03,2001 Mar,176.2
CUUR0000SA0,2001,M04,2001 Apr,176.9
CUUR0000SA0,2001,M05,2001 May,177.7
CUUR0000SA0,2001,M06,2001 Jun,178
CUUR0000SA0,2001,M07,2001 Jul,177.5
CUUR0000SA0,2001,M08,2001 Aug,177.5
CUUR0000SA0,2001,M09,2001 Sep,178.3
CUUR0000SA0,2001,M10,2001 Oct,177.7
CUUR0000SA0,2001,M11,2001 Nov,177.4
CUUR0000SA0,2001,M12,2001 Dec,176.7
CUUR0000SA0,2002,M01,2002 Jan,177.1
CUUR0000SA0,2002,M02,2002 Feb,177.8
CUUR0000SA0,2002,M03,2002 Mar,178.8
CUUR0000SA0,2002,M04,2002 Apr,179.8
CUUR0000SA0,2002,M05,2002 May,179.8
CUUR0000SA0,2002,M06,2002 Jun,179.9
CUUR0000SA0,2002,M07,2002 Jul,180.1
CUUR0000SA0,2002,M08,2002 Aug,180.7
CUUR0000SA0,2002,M09,2002 Sep,181
CUUR0000SA0,2002,M10,2002 Oct,181.3
CUUR0000SA0,2002,M11,2002 Nov,181.3
CUUR0000SA0,2002,M12,2002 Dec,180.9
CUUR0000SA0,2003,M01,2003 Jan,181.7
CUUR0000SA0,2003,M02,2003 Feb,183.1
CUUR0000SA0,2003,M03,2003 Mar,184.2
CUUR0000SA0,2003,M04,2003 Apr,183.8
CUUR0000SA0,2003,M05,2003 May,183.5
CUUR0000SA0,2003,M06,2003 Jun,183.7
CUUR0000SA0,2003,M07,2003 Jul,183.9
CUUR0000SA0,2003,M08,2003 Aug,184.6
CUUR0000SA0,2003,M09,2003 Sep,185.2
CUUR0000SA0,2003,M10,2003 Oct,185
CUUR0000SA0,2003,M11,2003 Nov,184.5
CUUR0000SA0,2003,M12,2003 Dec,184.3
CUUR0000SA0,2004,M01,2004 Jan,185.2
CUUR0000SA0,2004,M02,2004 Feb,186.2
CUUR0000SA0,2004,M03,2004 Mar,187.4
CUUR0000SA0,2004,M04,2004 Apr,188
CUUR0000SA0,2004,M05,2004 May,189.1
CUUR0000SA0,2004,M06,2004 Jun,189.7
CUUR0000SA0,2004,M07,2004 Jul,189.4
CUUR0000SA0,2004,M08,2004 Aug,189.5
CUUR0000SA0,2004,M09,2004 Sep,189.9
CUUR0000SA0,2004,M10,2004 Oct,190.9
CUUR0000SA0,2004,M11,2004 Nov,191
CUUR0000SA0,2004,M12,2004 Dec,190.3
CUUR0000SA0,2005,M01,2005 Jan,190.7
CUUR0000SA0,2005,M02,2005 Feb,191.8
CUUR0000SA0,2005,M03,2005 Mar,193.3
CUUR0000SA0,2005,M04,2005 Apr,194.6
CUUR0000SA0,2005,M05,2005 May,194.4
CUUR0000SA0,2005,M06,2005 Jun,194.5
CUUR0000SA0,2005,M07,2005 Jul,195.4
CUUR0000SA0,2005,M08,2005 Aug,196.4
CUUR0000SA0,2005,M09,2005 Sep,198.8
CUUR0000SA0,2005,M10,2005 Oct,199.2
CUUR0000SA0,2005,M11,2005 Nov,197.6
CUUR0000SA0,2005,M12,2005 Dec,196.8
CUUR0000SA0,2006,M01,2006 Jan,198.3
CUUR0000SA0,2006,M02,2006 Feb,198.7
CUUR0000SA0,2006,M03,2006 Mar,199.8
CUUR0000SA0,2006,M04,2006 Apr,201.5
CUUR0000SA0,2006,M05,2006 May,202.5
CUUR0000SA0,2006,M06,2006 Jun,202.9
CUUR0000SA0,2006,M07,2006 Jul,203.5
CUUR0000SA0,2006,M08,2006 Aug,203.9
CUUR0000SA0,2006,M09,2006 Sep,202.9
CUUR0000SA0,2006,M10,2006 Oct,201.8
CUUR0000SA0,2006,M11,2006 Nov,201.5
CUUR0000SA0,2006,M12,2006 Dec,201.8
CUUR0000SA0,2007,M01,2007 Jan,202.416
CUUR0000SA0,2007,M02,2007 Feb,203.499
CUUR0000SA0,2007,M03,2007 Mar,205.352
CUUR0000SA0,2007,M04,2007 Apr,206.686
CUUR0000SA0,2007,M05,2007 May,207.949
CUUR0000SA0,2007,M06,2007 Jun,208.352
CUUR0000SA0,2007,M07,2007 Jul,208.299
CUUR0000SA0,2007,M08,2007 Aug,207.917
CUUR0000SA0,2007,M09,2007 Sep,208.49
CUUR0000SA0,2007,M10,2007 Oct,208.936
CUUR0000SA0,2007,M11,2007 Nov,210.177
CUUR0000SA0,2007,M12,2007 Dec,210.036
CUUR0000SA0,2008,M01,2008 Jan,211.08
CUUR0000SA0,2008,M02,2008 Feb,211.693
CUUR0000SA0,2008,M03,2008 Mar,213.528
CUUR0000SA0,2008,M04,2008 Apr,214.823
CUUR0000SA0,2008,M05,2008 May,216.632
CUUR0000SA0,2008,M06,2008 Jun,218.815
CUUR0000SA0,2008,M07,2008 Jul,219.964
CUUR0000SA0,2008,M08,2008 Aug,219.086
CUUR0000SA0,2008,M09,2008 Sep,218.783
CUUR0000SA0,2008,M10,2008 Oct,216.573
CUUR0000SA0,2008,M11,2008 Nov,212.425
CUUR0000SA0,2008,M12,2008 Dec,210.228
CUUR0000SA0,2009,M01,2009 Jan,211.143
CUUR0000SA0,2009,M02,2009 Feb,212.193
CUUR0000SA0,2009,M03,2009 Mar,212.709
CUUR0000SA0,2009,M04,2009 Apr,213.24
CUUR0000SA0,2009,M05,2009 May,213.856
CUUR0000SA0,2009,M06,2009 Jun,215.693
CUUR0000SA0,2009,M07,2009 Jul,215.351
CUUR0000SA0,2009,M08,2009 Aug,215.834
CUUR0000SA0,2009,M09,2009 Sep,215.969
CUUR0000SA0,2009,M10,2009 Oct,216.177
CUUR0000SA0,2009,M11,2009 Nov,216.33
CUUR0000SA0,2009,M12,2009 Dec,215.949
CUUR0000SA0,2010,M01,2010 Jan,216.687
CUUR0000SA0,2010,M02,2010 Feb,216.741
CUUR0000SA0,2010,M03,2010 Mar,217.631
CUUR0000SA0,2010,M04,2010 Apr,218.009
CUUR0000SA0,2010,M05,2010 May,218.178
CUUR0000SA0,2010,M06,2010 Jun,217.965
CUUR0000SA0,2010,M07,2010 Jul,218.011
CUUR0000SA0,2010,M08,2010 Aug,218.312
CUUR0000SA0,2010,M09,2010 Sep,218.439
CUUR0000SA0,2010,M10,2010 Oct,218.711
CUUR0000SA0,2010,M11,2010 Nov,218.803
CUUR0000SA0,2010,M12,2010 Dec,219.179
